#CODE;;;;;;;;;;;;;;x
hand_of_god_player;Hand of God;Dieu à la Main;Gottes Hand;;La Mano de Dios;;;;;;;;;x
hand_of_god_player_desc;It's as if God has placed his hand on your shoulder, you feel ALIVE!;C'est comme si Dieu a posé sa main sur votre épaule, vous sentir vivant!;Es ist, als ob Gott hat seine Hand auf die Schulter gelegt, fühlen Sie sich lebendig!;;Es como si Dios ha puesto su mano sobre el hombro, te sientes vivo!;;;;;;;;;x
vassal_duty;Dutiful;Dévoué;Pflichtbewusst;;Obediente;;;;;;;;;x
vassal_duty_desc;Your duty is to your god(s), your vassals respect you for it.;Votre devoir est de votre règle.;;Tu deber es la regla.;;;;;;;;;x
anti_pope_p;Popular Priest;;;;;;;;;;;;;x
anti_pope_p_desc;A very popular priest, maybe even the next pope.;;;;;;;;;;;;;x
cheat_prov_lesser;Buffed Province;;;;;;;;;;;;;x
cheat_hold_fort;Buffed Holding;;;;;;;;;;;;;x
cheat_character;Greatness!;;;;;;;;;;;;;x
cheat_prov;Enhanced Province!;;;;;;;;;;;;;x
cheat_statholder;Stats increased!;;;;;;;;;;;;;x
cheat_dyn_heal;Protected Dynasty;;;;;;;;;;;;;x
cheat_dyn_heal_desc;This person's dynasty is protected by some unknown force against diseases and injury;;;;;;;;;;;;;x
cheat_priest_one;Gifted Priest;;;;;;;;;;;;;x
cheat_steward_one;Capable Steward;;;;;;;;;;;;;x
pillage_settlement_2;Pillage Holding;Piller la propriété;Siedlung plündern;;Saquear establecimiento;;;;;;;;;x
pillage_settlement_2_desc;Start Pillaging this Holding.\n\nWhile Pillaging this Holding the revolt risk of the entire Province will be increased significantly, but in exchange you will receive the following every §Y6 months§! until the holding is completely destroyed:;Commencer à piller cette propriété.\n\nPiller cette propriété augmente significativement le risque de révolte du comté, mais en échange vous recevrez tous les §Y6 mois§! jusqu'à la destruction complète de la propriété les choses suivantes :;Beginnt mit der Plünderung dieser Liegenschaft.\n\nWährend diese Liegenschaft geplündert wird, steigt das Aufstandsrisiko in der gesamten Provinz enorm. Im Gegenzug erhaltet Ihr aber alle §Y6 Monate§! bis zur vollständigen Zerstörung der Liegenschaft Folgendes:;;Empezar a saquear este asentamiento.\n\nSaquear este asentamiento aumentará considerablemente el riesgo de rebelión de toda la provincia, pero a cambio recibirás lo siguiente cada §Y6 meses§! hasta que el asentamiento haya sido totalmente destruido: ;;;;;;;;;x
recently_burnt_the_land;Recently Pillaged;Pillée récemment;Kürzlich geplündert;;Recientemente saqueado;;;;;;;;;x
burnt_the_land;Ravaged Lands;Terres dévastées;Verwüstete Länder;;Tierras devastadas;;;;;;;;;x
grant_pope_defacto_ownership_catholic;Transfer Monestary Land;;;;;;;;;;;;;x
grant_pope_defacto_ownership_catholic_desc;In return for a gift of gold the church will take defacto ownership of the land a monestary is hosted on.;;;;;;;;;;;;;x
scourge_of_god;Blood of [This.GetFirstNameWithNick];;;;;;;;;x
scourge_of_god;This character claims descent from [This.GetFirstNameWithNick] who collapsed a great empire under his military might;;;;;;;;;x

dismantle_mega_empire_cb;Dismantle Threat of [Recipient.PrimaryTitle.GetFullName];;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;
dismantle_mega_empire_cb_desc;The power and size of this Empire must be halted before it can grow exponentially.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;
