#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bloodthirsty_gods_1_gain;Haemophiliac §G+1.0§!;;;;;;;;;;;;;x
bloodthirsty_gods_2_gain;Haemophant §G+2.0§!;;;;;;;;;;;;;x
bloodthirsty_gods_3_gain;Haemoarch §G+3.0§!;;;;;;;;;;;;;x
kinich_protectshiacaliph;Extremely Well Protected;;;;;;;;;;;;;x
kinich_protectshiacaliph_desc;[Root.GetFirstNameWithNick] is well aware that many would profit from their death & takes the appropriate steps to protect themself.;;;;;;;;;;;;;x
mizrahi;Mizrahi;mizrahi;Mizrahi;;Mizrahi;;;;;;;;;x
kalimi;Kalimi;kalimi;Kalimi;;Kalimi;;;;;;;;;x
hebrew;Hebrew;hébreu;Hebräisch;;Hebreo;;;;;;;;;x
mizrahi_DESC;The Mizrachim are Jews who have lived east of the land of Israel since being sent into exile by the Babylonians in the 5th Century BCE.;The Mizrachim are Jews who have lived east of the land of Israel since being sent into exile by the Babylonians in the 5th Century BCE.;The Mizrachim are Jews who have lived east of the land of Israel since being sent into exile by the Babylonians in the 5th Century BCE.;;The Mizrachim are Jews who have lived east of the land of Israel since being sent into exile by the Babylonians in the 5th Century BCE.;;;;;;;;;x
TOOLTIPMIZRACHI;The Mizrachim are Jews who have lived east of the land of Israel since being sent into exile by the Babylonians in the 5th Century BCE;The Mizrachim are Jews who have lived east of the land of Israel since being sent into exile by the Babylonians in the 5th Century BCE;The Mizrachim are Jews who have lived east of the land of Israel since being sent into exile by the Babylonians in the 5th Century BCE;;The Mizrachim are Jews who have lived east of the land of Israel since being sent into exile by the Babylonians in the 5th Century BCE;;;;;;;;;x
tribal_count_female_mizrachi;Chieftess;Chieftess;Chieftess;;Chieftess;;;;;;;;;x
tribal_count_female_hebrew;Chieftess;Chieftess;Chieftess;;Chieftess;;;;;;;;;x
hebrew_DESC;The Jews who were sent into exile by the Romans in the 2nd century CE are known as members of the Hebrew culture. These are the ancestors of modern Ashkenazi and Sephardi Jews.;The Jews who were sent into exile by the Romans in the 2nd century CE are known as members of the Hebrew culture. These are the ancestors of modern Ashkenazi and Sephardi Jews.;The Jews who were sent into exile by the Romans in the 2nd century CE are known as members of the Hebrew culture. These are the ancestors of modern Ashkenazi and Sephardi Jews.;;The Jews who were sent into exile by the Romans in the 2nd century CE are known as members of the Hebrew culture. These are the ancestors of modern Ashkenazi and Sephardi Jews.;;;;;;;;;x
TOOLTIPHEBREW;The Jews who were sent into exile by the Romans in the 2nd century CE are known as members of the Hebrew culture. These are the ancestors of modern Ashkenazi and Sephardi Jews.;The Jews who were sent into exile by the Romans in the 2nd century CE are known as members of the Hebrew culture. These are the ancestors of modern Ashkenazi and Sephardi Jews.;The Jews who were sent into exile by the Romans in the 2nd century CE are known as members of the Hebrew culture. These are the ancestors of modern Ashkenazi and Sephardi Jews.;;The Jews who were sent into exile by the Romans in the 2nd century CE are known as members of the Hebrew culture. These are the ancestors of modern Ashkenazi and Sephardi Jews.;;;;;;;;;x
RULE_GROUP_CL_KINICH;Kinich CleanSlate;xxxxx;;;;;;;;;;;;x
cl_common_kinich_defensive_rule;§BKinich CleanSlate:§! More Defensive Religions?;;;;;;;;;;;;;x
